,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
211,N/A,N/A,ma,N/A,N/A,N/A,N/A,N/A,226.74,38.672634271099746,N/A,56.25,46.75,56.88,22.32,147.74,16.81,300339350400.0,305430000000.0,34.72,3.21,17.96,29.89,16879999999.999998,16879999999.999998,10220000000.0,7950000000.0,7.82,3.10,3.10,8180000000.0,10.64,12470000000.0,1.87,5.38,8730000000.0,1.08,11.30,78.61,4430000.0,0.99,0.50,6460000.0,302.42,993120000.0,N/A
212,N/A,N/A,mar,N/A,N/A,N/A,N/A,N/A,15.19,31.245551601423486,N/A,2.81,18.58,35.05,4.36,117.37,15.19,28470028000.0,39930000000.0,23.67,7.98,7.98,17.36,5370000000.0,4059999999.9999995,2300000000.0,2.81,2.81,74.75,74.75,1690000000.0,5.43,13220000000.0,0.62,2.81,2049999999.9999998,1.6,17.21,64.41,10800000.0,1.75,4.09,14030000.0,87.80,324260000.0,N/A
213,N/A,N/A,mas,N/A,N/A,N/A,N/A,N/A,24.02,10.578059071729957,N/A,356.90,19.91,16.12,13.07,2370000000.0,24.02,13224926400.0,15570000000.0,19.28,2.27,2.30,12.43,6710000000.0,2370000000.0,1250000000.0,4.74,4.74,391.50,4.50,1030000000.0,2.91,2930000000.0,1.83,356.90,391.50,1.47,0.76,100.95,5540000.0,1.7,2.41,7250000.0,50.14,263760000.0,N/A
214,N/A,N/A,mat,N/A,N/A,N/A,N/A,N/A,12.73,40.48,N/A,22.24,345660000.0,2.30,1.28,278710000.0,12.73,3510627999.9999995,6350000000.0,40.48,1.44,1.44,18.85,4500000000.0,1880000000.0,336920000.0,0.25,0.25,45.76,45.76,180980000.0,1.44,3340000000.0,1.61,0.46,199300000.0,1.53,0.31,117.59,29190000.0,5.91,16.23,40610000.0,10.12,346900000.0,N/A
215,N/A,N/A,mcd,N/A,N/A,N/A,N/A,N/A,27.58,24.020942408376964,N/A,5800000000.0,27.95,41.37,11.07,11120000000.0,27.58,136450790400.0,183390000000.0,23.00,8.91,8.83,17.91,21080000000.0,11120000000.0,10240000000.0,5800000000.0,7.64,52.52,52.52,8119999999.999999,7.24,52310000000.0,1.89,5800000000.0,7650000000.0,0.66,0.12,68.79,6390000.0,1.56,0.86,7270000.0,183.52,743520000.0,N/A
216,N/A,N/A,mchp,N/A,N/A,N/A,N/A,N/A,172.26,46.91031390134529,N/A,4.59,10.82,13.12,2.42,10.50,22.08,26360673900.0,34880000000.0,15.50,2.04,6.61,18.28,5270000000.0,3240000000.0,1910000000.0,570600000.0,2.23,61.47,61.47,1540000000.0,1.64,9620000000.0,1.35,22.77,1540000000.0,1.6,2.20,109.96,19750000.0,4.84,10.48,29290000.0,104.61,251990000.0,N/A
217,N/A,N/A,mck,N/A,N/A,N/A,N/A,N/A,140.37,30.792338709677416,N/A,4.86,0.39,1.23,2.94,13.74,2.94,24760587600.0,31740000000.0,9.00,1.38,0.14,8.44,231050000000.0,12020000000.0,3760000000.0,4.96,4.96,11.60,11.60,4370000000.0,24.81,9420000000.0,0.99,31.43,4370000000.0,0.84,0.33,103.44,2180000.0,1.32,1.34,2520000.0,152.73,162120000.0,N/A
218,N/A,N/A,mco,N/A,N/A,N/A,N/A,N/A,911.92,34.492555831265506,N/A,89.57,30.88,44.22,13.21,272.92,26.39,52126875000.0,57460000000.0,29.33,4.04,11.55,23.94,4830000000.0,3440000000.0,2400000000.0,1540000000.0,8.06,33.20,13.00,1680000000.0,11.9,7340000000.0,1.70,3.10,1650000000.0,1.19,0.41,94.57,1910000.0,1.92,1.18,2120000.0,278.01,187500000.0,N/A
219,N/A,N/A,mdt,N/A,N/A,N/A,N/A,N/A,50.60,26.31638418079096,N/A,2.46,16.56,17.79,3.56,9.51,21.57,124834400000.0,139880000000.0,16.70,2.67,4.84,17.92,28910000000.0,19650000000.0,7810000000.0,4790000000.0,3.54,67.96,67.96,7230000000.0,8.16,25740000000.0,2.12,37.83,7230000000.0,0.68,0.07,85.82,8940000.0,1.28,0.67,8330000.0,93.16,1340000000.0,N/A
220,N/A,N/A,met,N/A,N/A,N/A,N/A,N/A,157.00,3.8046958377801494,N/A,0.46,12.45,16.39,1.01,13.82,77.27,32355583500.0,101560000000.0,5.98,4.14,1.42,8.39,69620000000.0,20480000000.0,12110000000.0,8740000000.0,9.37,239.30,12.30,13790000000.0,45.9,110620000000.0,1.08,77.37,13560000000.0,1.35,15.54,77.43,16760000.000000002,2.44,2.18,18140000.0,35.65,907590000.0,N/A
